,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents By Single Year Of Age And Sex, At End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 19/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 
Singapore Residents,3986842,4044210,4026209,3994283,3965796,3933559,3902690,3870739,3844751,3818205,3789251,3771721,3733876,3642659,3583082,3525894,3467814,3413266,3366891,3382944,3325902,3273363,3229681,3180018,3123403,3068132,3013515,2959350,2904547,2849754,2794704,2735868,2647627,2598458,2553864,2518598,2482615,2443705,2406165,2365707,2324403,2282125
  0 Year,31611,33434,32967,32664,33374,34640,34559,32782,33912,33237,31172,32788,35145,37444,35770,35563,35003,34434,36835,37397,41768,40813,41427,44961,45693,46690,47566,49125,48702,48136,50338,46645,50886,46695,39345,40841,42487,39990,42112,41039,40676,35380
  1 Year,36172,35585,35454,36123,37714,37740,35919,37271,36304,34602,35916,38350,41023,38819,38543,38179,37296,39270,39859,44671,43636,42294,45881,46593,47462,48321,49789,49276,48695,50712,47079,51491,46195,38371,39508,41005,38677,40951,40133,40253,35882,37330
  2 Year,36092,36387,37267,38787,39002,36905,38394,37098,35313,37217,38662,41562,40480,39133,39047,38227,40102,40392,45052,44774,42966,46369,47162,48083,48820,50272,49690,49062,51074,47448,51862,46706,38511,39644,41075,38763,41107,40279,40422,36413,37645,35816
  3 Year,36644,37823,39428,39727,37738,39141,38108,35890,37847,39509,41662,40869,40522,39386,38895,40843,41046,45593,44793,43567,46841,47518,48506,49281,50711,50159,49401,51354,47827,52204,47022,38982,39789,41183,38859,41191,40405,40558,36909,37930,36083,38649
  4 Year,37916,39847,40239,38227,39825,38734,36595,38328,39919,42108,40837,40863,40618,39107,41371,41667,46082,45130,43364,47389,47780,48711,49638,51154,50574,49707,51644,48205,52473,47251,39218,40225,41306,38974,41282,40456,40672,37370,38182,36329,38852,38665
  5 Year,39696,40464,38675,40338,39291,37071,38878,40150,42183,41166,40922,40915,40130,41610,42138,46577,45621,43657,46678,48340,49164,49839,51492,51054,50003,51952,48595,52742,47438,39472,40526,41755,39159,41551,40694,40885,37739,38369,36539,39098,38777,39098
  6 Year,40256,39002,40817,39717,37574,39391,40551,42433,41212,41091,40932,40472,42534,42423,47233,46223,44246,47511,48038,49887,50347,51680,51343,50297,52286,48974,53006,47634,39655,40737,42043,39527,41642,40752,40927,38172,38592,36752,39308,38877,39286,42551
