Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Residents,"3,986,842","4,044,210","4,026,209","3,994,283","3,965,796","3,933,559","3,902,690","3,870,739","3,844,751","3,818,205","3,789,251","3,771,721","3,733,876","3,642,659","3,583,082","3,525,894","3,467,814","3,413,266","3,366,891","3,382,944","3,325,902","3,273,363"
  Total HDB Dwellings,"3,090,959","3,152,410","3,154,524","3,149,249","3,156,575","3,162,636","3,162,357","3,154,691","3,147,634","3,136,924","3,120,823","3,111,083","3,090,463","3,017,728","2,962,077","2,921,412","2,887,618","2,860,404","2,835,299","2,847,905","2,812,379","2,787,664"
    HDB 1- And 2-Room Flats,"179,559","177,358","173,771","170,955","168,052","163,847","159,792","151,720","143,445","132,214","122,473","112,433","106,133","101,302","97,512","93,676","91,379","90,422","89,022","94,380","97,387","105,825"
    HDB 3-Room Flats,"557,100","575,200","580,233","584,821","590,806","599,416","604,579","609,833","612,096","621,569","629,207","632,538","632,943","617,559","609,024","605,224","608,511","618,003","633,407","655,820","677,179","710,485"
    HDB 4-Room Flats,"1,312,346","1,338,374","1,337,743","1,331,440","1,330,160","1,325,542","1,320,285","1,311,754","1,303,959","1,294,678","1,283,524","1,279,865","1,272,084","1,243,034","1,221,318","1,208,149","1,194,271","1,183,552","1,172,937","1,175,794","1,148,715","1,127,389"
    HDB 5-Room And Executive Flats,"1,041,954","1,061,478","1,062,777","1,062,033","1,067,557","1,070,978","1,074,735","1,077,664","1,081,223","1,080,226","1,077,235","1,076,353","1,069,368","1,046,011","1,022,687","1,002,746","981,865","956,836","927,187","906,031","868,694","821,882"
  Condominiums & Other Apartments,"620,246","607,937","587,860","562,228","525,584","484,544","452,998","425,994","407,454","393,721","383,257","373,852","357,532","344,689","348,155","335,199","312,134","288,546","268,063","259,451","235,248","207,005"
  Landed Properties,"240,841","248,860","249,077","248,240","249,408","250,745","251,082","252,814","251,347","249,548","247,556","248,189","246,126","242,625","240,877","238,516","237,295","235,369","233,863","242,331","243,108","241,684"
  Other Types Of Dwelling,"34,796","35,003","34,748","34,566","34,229","35,634","36,253","37,240","38,316","38,012","37,615","38,597","39,755","37,617","31,973","30,767","30,767","28,947","29,666","33,257","35,167","37,010"
0-4 Years,"178,435","183,076","185,355","185,528","187,653","187,160","183,575","181,369","183,295","186,673","188,249","194,432","197,788","193,889","193,626","194,479","199,529","204,819","209,903","217,798","222,991","225,705"
  Total HDB Dwellings,"138,502","144,145","146,195","147,012","150,516","152,004","150,367","149,709","152,005","155,549","157,545","163,155","166,987","163,479","162,664","164,278","170,163","176,480","182,327","189,346","194,458","198,145"
    HDB 1- And 2-Room Flats,"8,089","7,979","7,828","7,907","7,965","7,752","7,603","7,412","7,219","6,571","5,878","5,191","4,615","4,158","3,698","3,344","3,263","3,283","3,280","3,457","3,874","4,569"
