Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957
Total Residents,"3,986,842","4,044,210","4,026,209","3,994,283","3,965,796","3,933,559","3,902,690","3,870,739","3,844,751","3,818,205","3,789,251","3,771,721","3,733,876","3,642,659","3,583,082","3,525,894","3,467,814","3,413,266","3,366,891","3,382,944","3,325,902","3,273,363","3,229,681","3,180,018","3,123,403","3,068,132","3,013,515","2,959,350","2,904,547","2,849,754","2,794,704","2,735,868","2,647,627","2,598,458","2,553,864","2,518,598","2,482,615","2,443,705","2,406,165","2,365,707","2,324,403","2,282,125","2,383,500","2,353,600","2,325,300","2,293,300","2,262,600","2,229,800","2,193,000","2,152,400","2,112,900","2,013,563","2,042,500","2,012,000","1,977,600","1,934,400","1,886,900","1,841,600","1,795,000","1,750,200","1,702,400","1,646,400","1,587,200","1,518,800","1,445,929"
  0 - 4 Years,"178,435","183,076","185,355","185,528","187,653","187,160","183,575","181,369","183,295","186,673","188,249","194,432","197,788","193,889","193,626","194,479","199,529","204,819","209,903","217,798","222,991","225,705","232,614","240,072","243,259","245,148","248,089","247,022","248,771","245,751","235,519","224,049","216,686","204,867","200,069","202,257","203,346","199,148","197,758","191,964","189,138","185,840","198,000","204,200","215,100","221,300","228,000","227,800","227,200","226,000","228,200","230,165","257,900","272,800","283,100","289,600","293,500","299,900","303,000","306,100","303,700","297,000","288,800","277,800","264,727"
  5 - 9 Years,"198,760","198,737","197,775","199,066","200,575","201,509","204,452","205,790","205,704","206,324","208,119","215,675","221,435","223,622","229,541","235,204","237,237","240,517","247,044","253,192","254,077","256,574","256,149","257,440","253,311","242,270","230,583","223,824","210,359","204,724","205,807","205,628","202,071","201,533","196,552","194,844","192,039","193,390","197,474","206,599","211,665","216,630","225,400","225,200","224,500","227,300","234,300","247,000","260,000","269,500","276,700","273,997","295,100","297,900","300,300","297,600","291,100","284,000","276,000","266,700","258,900","250,300","241,000","229,600","218,097"
  10 - 14 Years,"199,993","206,393","207,926","206,530","206,253","207,495","214,388","220,796","226,244","233,320","240,536","244,302","248,628","253,796","255,292","256,482","258,553","257,283","259,124","257,692","246,972","235,352","228,191","214,443","208,388","209,322","209,583","207,032","206,698","202,170","201,155","198,476","197,204","201,049","209,844","214,518","219,364","220,588","219,605","218,444","221,174","228,146","246,300","259,500","269,700","277,900","283,600","289,700","290,500","292,600","292,200","283,627","282,000","273,900","265,100","257,300","248,500","240,200","232,000","223,900","217,400","200,300","175,700","157,100","136,280"
  15 - 19 Years,"204,913","215,234","222,222","226,520","232,973","239,771","242,902","247,337","255,066","258,861","260,738","263,750","262,775","262,856","257,298","246,547","234,921","227,417","214,074","209,687","210,903","211,286","208,600","208,282","203,429","202,379","199,898","200,002","204,085","213,331","218,157","223,305","221,948","220,242","218,541","220,938","227,897","238,082","250,371","259,173","266,011","270,536","293,900","295,900","296,900","296,200","292,800","285,000","278,000","268,300","256,000","240,682","238,700","229,800","222,500","215,200","198,600","175,800","159,000","140,000","124,900","124,700","131,500","134,300","135,679"
  20 - 24 Years,"237,720","244,537","249,079","255,516","259,072","260,854","264,127","263,918","266,889","264,506","255,069","247,190","241,753","225,385","218,485","219,631","218,951","215,217","215,412","216,313","214,636","212,236","213,031","217,260","226,764","231,764","237,425","239,253","237,867","234,805","234,658","238,987","239,559","251,275","259,416","266,601","271,686","276,698","278,286","278,979","278,080","272,178","289,000","281,400","272,000","260,100","249,600","241,900","233,400","225,800","220,100","193,974","174,500","158,000","138,800","123,200","123,800","130,500","135,200","139,400","142,500","139,500","133,100","124,900","119,266"
  25 - 29 Years,"278,037","286,997","288,194","291,631","290,198","279,988","271,030","265,659","255,615","254,582","262,606","272,639","274,308","263,114","254,523","251,659","247,799","246,713","250,878","262,720","262,754","267,161","270,217","268,517","264,769","263,481","267,010","273,264","281,789","286,490","289,839","290,940","285,964","287,140","288,082","288,791","285,241","278,708","270,327","259,250","245,845","232,795","244,900","236,700","229,000","223,800","207,100","183,400","166,800","148,200","132,400","124,587","129,000","134,200","138,400","140,000","137,900","132,000","125,000","122,100","119,600","116,200","115,100","114,700","111,726"
  30 - 34 Years,"301,060","297,798","293,446","281,397","279,340","285,544","290,619","292,287","296,870","295,396","297,555","298,687","297,240","289,817","294,453","293,251","293,414","290,489","287,304","289,184","286,690","290,290","296,867","304,104","306,773","309,094","308,824","309,334","307,731","306,029","304,022","298,323","285,529","278,032","268,321","256,412","244,604","234,721","225,225","216,756","210,778","194,250","187,100","169,400","151,200","133,800","134,100","141,100","143,200","142,600","140,300","130,130","130,900","123,600","120,300","117,400","114,700","113,100","114,600","113,000","112,300","106,600","102,100","95,100","89,925"
  35 - 39 Years,"289,221","299,515","300,818","303,720","300,956","301,998","301,067","302,029","305,503","313,970","316,161","320,024","317,311","307,243","301,973","298,203","299,153","302,908","310,643","320,753","322,878","322,621","322,289","319,208","315,944","313,266","307,434","300,133","291,778","281,688","269,191","255,993","241,269","231,251","222,456","216,640","200,017","176,996","160,051","142,046","124,791","124,696","142,100","143,000","142,300","139,000","134,000","127,500","119,300","118,000","115,700","109,044","111,600","112,100","111,300","109,200","104,000","100,200","93,800","90,600","86,200","86,400","85,200","84,300","82,709"
  40 - 44 Years,"292,770","299,291","300,763","303,640","311,484","313,445","316,755","316,023","312,581","308,823","306,614","309,441","312,983","317,363","321,049","323,017","321,472","321,057","318,282","320,863","317,996","312,420","305,241","296,755","286,259","273,686","260,994","250,783","240,317","231,002","224,210","206,063","179,267","162,500","144,305","126,838","126,919","133,379","134,040","133,404","129,785","124,089","125,200","117,100","114,700","113,200","110,200","107,600","107,400","106,300","104,800","97,975","96,900","91,900","87,700","85,000","84,400","82,700","83,000","82,400","83,100","80,500","79,100","77,500","76,217"
